item_uuid,item_name,category,desc,price
0dea24a5,SHAKY PETE'S GINGER BREW,The Sacred Six,"Beefeater gin, lemon juice, ginger, McEwans Export",13.75
430f019c,DOUBLE MELON DAIQUIRI,The Sacred Six,"Havana Club 3 y.o, cantaloupe, sour watermelon, rose wine",13.5
02b9a573,SOUR CHERRY NEGRONI,The Sacred Six,"East London Gin, Select Aperitivo, Regal Rogue Vermouth, sour cherry",12.5
93865146,FULL FAT OLD FASHIONED,The Sacred Six,"Woodford Reserve Bourbon, salted brown butter, tonka bean",14.5
63cfc41f,REFORMED PORNSTAR,The Sacred Six,"Absolut Vodka, passion fruit, pineapple, clarified milk punch, jasmine, champagne",14.5
93d0fd8c,LYCHEE MARTINI,The Sacred Six,"Portobello Road Vodka, lychee, vanilla, lemon, orange wine",13.5
91cdd29c,ULTIMATE DRY MARTINI,Ultimate Steakhouse Cocktails,"Hepple Gin, Aperitivo Co Dry Vermouth, Filicudi Lemon Oil",14.5
e0637bf5,ULTIMATE STEAKHOUSE MARTINI,Ultimate Steakhouse Cocktails,"Boatyard Vodka, Dry Vermouth, Chardonnay Green Peppercorn, Olive Brine",15
56a58f72,CHAMPAGNE COCKTAIL,Ultimate Steakhouse Cocktails,"Seven Tails Xo Brandy, Pineau Des Charentes, Jasmine, Champagne",15.5
012fe687,BLOODY MARY,Ultimate Steakhouse Cocktails,"Pod Pea Vodka, Pickle House X Hawksmoor Bloody Mary Blend, Lemon",13.75
f3eb8691,OLD FASHIONED,Ultimate Steakhouse Cocktails,"Rabbit Hole Heigold Bourbon, NYDC Ragtime Rye Demerara, Bitters, Oolong Tea",17
6805b0fc,GIMLET,Ultimate Steakhouse Cocktails,"Fords Gin, Rose's Lime Marmalade, Lime Leaf Cordial",14
294e9019,BACK BURNER,Time & A Place,"El Tequileno Tequila, La Traversia Mezcal, Pasilla Chilli, Pineapple Soda",13.5
f1eea9a8,BERMUDA HOOSE FIRE,Time & A Place,"Bacardi 8 y.o Rum, Coconut, Falernum, Lime, Aperol, Orange Curacao",14.5
49e42abd,HOLYROOD PARK,Time & A Place,"Holyrood Height of Arrows Gin, Cucumber, Lemon, Strawberry, Honey",13
69b5feda,GRAN CLASSICO SPRITZ,Time & A Place,"Campari, Apreol, Lemon, Rosemary, Soda",13.5
4914246f,VELVET REVOLVER,Time & A Place,"James Eadie Trade Mark X Scotch, Vermouth, Coffee, Orange Oil",13
018b3da3,LEMON VERBENA SGROPPINO,Time & A Place,"Absolut Vodka, Pear Shrub, Lemon Verbena, Lemon Sorbet, Prosecco",12.5
2f1248ec,FALL BACK FIZZ,Time & A Place,"Johnny Walker Black Label, Plum Cordial, Tarragon Soda",13
e609a93a,MANDARIN PICADOR,Time & A Place,"El Tequileno Reposoda, Sour Mandarin, Chipotle",14.5
65289abc,STEADY PETE'S GINGER BREW,Lo & No Alc,"Cede's Crisp Non-alc, lemon, ginger, Lucky Saint",9.5
324c9d3f,LIVE A LITTLE,Lo & No Alc,"Three Spirit Livener, citrus, peach & jasmine soda",9
ef29ab34,AFTER BURNER,Lo & No Alc,"Almave Non-alc Agave Spirit, lime, spicy agave, pineapple soda",8.5
e1da8ac2,SHIRLEY T,Lo & No Alc,"sparkling ginger tea, lemongrass, pomegranate",7
20c2671d,PINEAPPLE SODA,Lo & No Alc,,6
4ac7bcf6,PLUM AND TARRAGON SODA,Lo & No Alc,,6
57c94f5f,CORNFLAKE MILKSHAKE,Lo & No Alc,,8
7f86ecb3,HAWKSMOOR X HARBOUR LAGER (330ML),Beers & Cider,"Cornwall, England, own label lager, Harbour brewery",6.75
6dc4d124,HAWKSMOOR X HARBOUR COLD IPA (330ML),Beers & Cider,"Cornwall, England, crisp session pale ale, tropical fruit",7.5
b955ce11,STIEGL GOLDBRAU PILS (330ML),Beers & Cider,"Salzburg, Austria, Austria's first premium lager",7.25
03521ea5,HARBOUR BIG WEDNESDAY HAZY IPA (330ML),Beers & Cider,"Cornwall, England, hazy New England IPA, tropical juicy flavors, fresh hop",8
6f1f19f1,PILOT IPA (330ML),Beers & Cider,"Edinburgh, Scotland, big tropical-style pale ale",8
d81c1523,BELLFIELD GLUTEN FREE PILSNER (330ML),Beers & Cider,"Edinburgh, Scotland, light refreshing Czech-style pilsner",8
682e0af9,THISTLY CROSS CIDER (330ML),Beers & Cider,"Lothian, Scotland, thirst-quenching medium-dry cider",7.5
d911967c,BRULO IPA 0.0% (330ML),Beers & Cider,"Edinburgh, Scotland, fruity tropical single hop pale ale, 0.0%",7
5271eaa2,LUCKY SAINT LAGER 0.5% (330ML),Beers & Cider,"Bavaria, Germany, brilliant beer first, peerless non-alc lager",6
dbd38c23,LUCKY SAINT HAZY IPA 0.5% (330ML),Beers & Cider,"Bavaria, Germany, balance between malt and fruity hops, no alcohol",6
bd73c5db,GUINNESS DRAUGHT,Beers & Cider,"Dublin, Ireland, the undisputed heavyweight champ",7.75
aac68d90,GUINNESS 0.0% (568ML),Beers & Cider,"Dublin, Ireland. The undisputed heavyweight champ�s wee sibling for those abstaining.",7
