item_uuid,item_name,category,origin_region,origin_country,serving_size,price
51ef11f1,"Nino Franco, Primo Brut Spumante NV",Champagne & Sparkling,Veneto,Italy,125,9
1f256565,"Nino Franco, Primo Brut Spumante NV",Champagne & Sparkling,Veneto,Italy,750,48
c1a7001d,"L'Ormarins MCC, Blanc de Blancs 2018",Champagne & Sparkling,Western Cape,South Africa,125,11
271435ec,"L'Ormarins MCC, Blanc de Blancs 2018",Champagne & Sparkling,Western Cape,South Africa,750,50
ac12ce3f,"Fowles, Are You Game Vermentino NV",Champagne & Sparkling,Victoria,Australia,750,54
df9ce4ed,"Catherine et Pierre Breton, La Dilettante Vouvray Brut NV",Champagne & Sparkling,Loire,France,750,63
a835d5e0,"Weingut Brundlmayer, Brut NV",Champagne & Sparkling,Langenlois,Austria,750,66
966bec92,"Davenport, Limney Estate 2018",Champagne & Sparkling,Sussex,England,750,86
65967eae,"Palmer & Co, Brut Reserve NV",Champagne & Sparkling,Champagne,France,125,17
c3c621ce,"Palmer & Co, Brut Reserve NV",Champagne & Sparkling,Champagne,France,750,88
0db991ef,"Highweald, Rose Brut NV",Champagne & Sparkling,Sussex,England,750,95
dcc00919,"Palmer & Co, Brut Rose NV",Champagne & Sparkling,Champagne,France,125,17
a7679d03,"Palmer & Co, Brut Rose NV",Champagne & Sparkling,Champagne,France,750,100
d4e987af,"Mouzon Leroux, LIncandescent Rose de Saignee NV",Champagne & Sparkling,Champagne,France,750,105
05bfa575,"Heuré Fréres, Memoire Extra Brut NV",Champagne & Sparkling,Champagne,France,750,172
7452f0f5,"J de Telmont, Vinothèque Brut 2012",Champagne & Sparkling,Champagne,France,750,200
ecd16ea2,Ruinart Blanc de Blanc NV,Champagne & Sparkling,Champagne,France,750,220
3e03002b,"Dom Perignon, Brut 2012",Champagne & Sparkling,Champagne,France,750,385
735b548a,Pol Roger Vintage 2016 Magnum,Champagne & Sparkling,Champagne,France,1500,500
14c07890,Pol Roger Cuvee Sir Winston Churchill 2015,Champagne & Sparkling,Champagne,France,750,600
091e7564,Amoterra Vino Biologico Trebbiano 2023,White Wines,Abruzzo,Italy,750,38
df3872c5,Cannonberg Chenin Blanc 2023,White Wines,Western Cape,South Africa,750,39
dde38a69,Martin Codax Alba Martin Albarino 2023,White Wines,Rias Baixas,Spain,750,43
0248a8c4,Cave de LOrmarine Picpoul de Pinet 2023,White Wines,Languedoc-Roussillon,France,175,11
bb2cebb5,Cave de LOrmarine Picpoul de Pinet 2023,White Wines,Languedoc-Roussillon,France,500,30
b2c502f8,Cave de LOrmarine Picpoul de Pinet 2023,White Wines,Languedoc-Roussillon,France,750,44
f5417771,Domaine DAltugnac Les Turitelles Chardonnay 2023,White Wines,Languedoc-Roussillon,France,750,44
07bc5076,Tenute Orestiadi Zibibbo 2018,White Wines,Sicily,Italy,750,46
a6c52939,Besas Gruner Veltliner 2023,White Wines,Niederosterrich,Austria,175,12
1db345cc,Besas Gruner Veltliner 2023,White Wines,Niederosterrich,Austria,500,34
7b77cb9a,Besas Gruner Veltliner 2023,White Wines,Niederosterrich,Austria,750,50
c92b2285,Monte Tondo Soave Classico 2023,White Wines,Veneto,Italy,175,13
bb426527,Monte Tondo Soave Classico 2023,White Wines,Veneto,Italy,500,36
6ad72441,Monte Tondo Soave Classico 2023,White Wines,Veneto,Italy,750,54
0a19f6eb,Foli e Benato Gavi del Comune di Gavi 2022,White Wines,Piedmont,Italy,750,55
ce84d7cf,Russolo Doi Raps White Blend Off-Dry 2020,White Wines,Friuli,Italy,750,55
0be3774f,M Delhommeau Dames des Onze Heurs Muscadet 2022,White Wines,Loire,France,750,59
4ed174d3,Ossian Quintaluna Verdejo 2019,White Wines,Rueda,Spain,175,15
37c0a441,Ossian Quintaluna Verdejo 2019,White Wines,Rueda,Spain,500,40
42831185,Ossian Quintaluna Verdejo 2019,White Wines,Rueda,Spain,750,60
2c497ac6,Peter Jakob Kuhn Jacobus Riesling 2022,White Wines,Rheingau,Germany,750,62
205603f5,Babich Family Reserve Sauvignon Blanc 2023,White Wines,Marlborough,New Zealand,175,15
093af635,Babich Family Reserve Sauvignon Blanc 2023,White Wines,Marlborough,New Zealand,500,42
cad3dc98,Babich Family Reserve Sauvignon Blanc 2023,White Wines,Marlborough,New Zealand,750,63
7508b29f,Edi Simcic Rebula 2020,White Wines,Goriska Brda,Slovenia,750,65
7a2c86a1,Sovran Pinot Blanc 2022,White Wines,Sussex,England,750,65
bf50e4d8,Domaine Garnier & Fils Chablis 2021,White Wines,Burgundy,France,750,68
307888a6,Domaine Sebastien Treuillet Pouilly-Fume 2023,White Wines,Loire,France,175,17
c745d461,Domaine Sebastien Treuillet Pouilly-Fume 2023,White Wines,Loire,France,500,46
4b76be03,Domaine Sebastien Treuillet Pouilly-Fume 2023,White Wines,Loire,France,750,70
1d0a0be7,Finca Allende Rioja Blanco 2019,White Wines,Rioja,Spain,750,70
98089480,Chateau La Baronne Las Vals Rousanne 2015,White Wines,Roussillon,France,750,71
9873588f,Dom Deux Roches En Terre Noire Saint-Veran 2022,White Wines,Burgundy,France,175,20
5886bb48,Dom Deux Roches En Terre Noire Saint-Veran 2022,White Wines,Burgundy,France,500,56
82405b3f,Dom Deux Roches En Terre Noire Saint-Veran 2022,White Wines,Burgundy,France,750,83
c9e2af88,La Violetta Das Sakrileg Riesling 2021,White Wines,Great Southern,Australia,750,85
57dfe167,Ministry of Clouds Chardonnay 2022,White Wines,Tasmania,Australia,750,88
ed5a66ca,Ossian Organic Verdejo Alma Carraovejas 2019,White Wines,Rueda,Spain,750,90
fabb4adc,Panizzi Vernaccia di San Gimignano Riserva 2016,White Wines,Tuscany,Italy,750,90
744b5b6a,Tyler Winery Chardonnay 2022,White Wines,Santa Barbara,USA,175,22
97c82dc4,Tyler Winery Chardonnay 2022,White Wines,Santa Barbara,USA,500,62
b9edd9cb,Tyler Winery Chardonnay 2022,White Wines,Santa Barbara,USA,750,92
3096b2e4,Brokenwood ILR Reserve Semillon 2014,White Wines,Hunter Valley,Australia,750,100
3de70fbc,Ken Forrester FMC Chenin Blanc 2023,White Wines,Stellenbosch,South Africa,750,105
77d0a26e,Andre Perret Condrieu 2020,White Wines,Northern Rhone,France,750,150
2abf5469,Grosset Polish Hill Riesling 2015,White Wines,Clare Valley,Australia,750,175
9dda4419,Nicolas Joly Clos de la Coulee de Serrant 2001,White Wines,Savennieres,France,750,185
6a34eeee,Paul Lato East of Eden Pisoni Vineyard Chardonnay 2019,White Wines,Santa Barbara,USA,750,215
9426128c,Lopez de Heredia Vina Tondonia Gran Reserva 2001,White Wines,Rioja,Spain,750,250
140a3048,Staglin Family Estate Chardonnay 2019,White Wines,California,USA,750,300
53d701c9,Domaine Didier Dagueneau Silex Fume de Pouilly 2015,White Wines,Loire,France,750,320
f5cce9a6,Cantina Terlano Terlaner Primo Grande Cuvee 2019,White Wines,Alto Adige,Italy,750,400
e5080e55,Trimbach Clos Sainte Hune Riesling 2017,White Wines,Alsace,France,750,450
3626ec19,Domaine Coche Dury �Les Rougeots� Mersault 2000,White Wines,Burgundy,France,750,1000
45774eba,Reserve de Gassac Rose 2023,Rose Wines,Languedoc-Roussillon,France,175,10
7c07134d,Reserve de Gassac Rose 2023,Rose Wines,Languedoc-Roussillon,France,500,28
e84d73d9,Reserve de Gassac Rose 2023,Rose Wines,Languedoc-Roussillon,France,750,42
1bd4c672,Judith Beck Beck Pink 2023,Rose Wines,Burgenland,Austria,750,44
a746cc55,Markovitis Alkemi Rose 2022,Rose Wines,Naoussa,Greece,750,55
20059634,Tenute Sella Majoli 2022,Rose Wines,Piedmont,Italy,175,14
ebbb06e8,Tenute Sella Majoli 2022,Rose Wines,Piedmont,Italy,500,39
03311fb1,Tenute Sella Majoli 2022,Rose Wines,Piedmont,Italy,750,58
6e63bd69,Chateau Grand Boise Rose 2022,Rose Wines,Provence,France,175,14
a7142c24,Chateau Grand Boise Rose 2022,Rose Wines,Provence,France,500,39
60573139,Chateau Grand Boise Rose 2022,Rose Wines,Provence,France,750,58
81544885,Julian Castagna Allegro 2014,Rose Wines,Victoria,Australia,750,62
efdcf0cf,Clos Cibonne Tradition Rose Cru Classe 2022,Rose Wines,Provence,France,750,66
845dff99,Lopez de Heredia Vina Tondonia Rosado Gran Reserva 2012,Rose Wines,Rioja,Spain,750,98
ce98419b,Chateau Galoupet Cru Classe Rose 2021,Rose Wines,Provence,France,750,120
af7cdad3,Celliers Jean dAlibert Les Clairieres Merlot 2022,Red Wines,Languedoc-Roussillon,France,750,38
6ab1ff72,Cantina di Venosa Aglianico 2021,Red Wines,Basilicata,Italy,750,40
ac66e91c,Quinta De La Rosa Hawksmoor Blend Tinto 2022,Red Wines,Douro,Portugal,175,11
4e1c49c5,Quinta De La Rosa Hawksmoor Blend Tinto 2022,Red Wines,Douro,Portugal,500,30
e10e467b,Quinta De La Rosa Hawksmoor Blend Tinto 2022,Red Wines,Douro,Portugal,750,44
352cd9cd,Imbuko Releaf Cabernet Blend 2020,Red Wines,Western Cape,South Africa,750,45
0136b525,Raul Perez Castro Ventosa Mencia Joven 2022,Red Wines,Bierzo,Spain,750,49
eb9b9dfe,Bodegas Estraunza Rioja Alavesa 2022,Red Wines,Rioja,Spain,175,12
050a5e23,Bodegas Estraunza Rioja Alavesa 2022,Red Wines,Rioja,Spain,500,34
0fcfae6a,Bodegas Estraunza Rioja Alavesa 2022,Red Wines,Rioja,Spain,750,50
500db51c,Stone Spring Shiraz 2022,Red Wines,South Australia,Australia,750,53
9a882951,Domaine Roche Audran Visan 2022,Red Wines,Cotes du Rhone,France,175,14
841687d8,Domaine Roche Audran Visan 2022,Red Wines,Cotes du Rhone,France,500,36
febbaa04,Domaine Roche Audran Visan 2022,Red Wines,Cotes du Rhone,France,750,54
766ae892,Du Plevaux Pinotage 2021,Red Wines,Western Cape,South Africa,750,56
ba9f8a88,Bodega Maranones 30000 Maravedies Garnacha 2020,Red Wines,Madrid,Spain,750,60
80cf48f3,I Clivi Cabernet Franc 2021,Red Wines,Friuli Venezia-Giulia,Italy,750,62
7fd275cc,Noelia Ricci Ill Sangiovese 2021,Red Wines,Emilia-Romagna,Italy,750,60
f692959e,Pulenta Estate Hawksmoor Blend Malbec 2022,Red Wines,Mendoza,Argentina,175,16
f663f585,Pulenta Estate Hawksmoor Blend Malbec 2022,Red Wines,Mendoza,Argentina,500,42
41207a9a,Pulenta Estate Hawksmoor Blend Malbec 2022,Red Wines,Mendoza,Argentina,750,63
7077db53,La Spinetta Langhe Nebiollo 2021,Red Wines,Piedmont,Italy,750,65
51c3a507,Hartenberg Cabernet Sauvignon 2019,Red Wines,Stellenbosch,South Africa,175,17
66941640,Hartenberg Cabernet Sauvignon 2019,Red Wines,Stellenbosch,South Africa,500,44
3052a9c2,Hartenberg Cabernet Sauvignon 2019,Red Wines,Stellenbosch,South Africa,750,66
bcea1441,Gulfi RossoJbleo Nero dAvola 2022,Red Wines,Sicily,Italy,750,66
67341340,Domaine de Marcoux La Lorentine Lirac 2020,Red Wines,Rhone,France,750,68
9aa9b8af,Jean Foillard Morgon Classique 2021,Red Wines,Beaujolais,France,750,70
6dc53159,Villa Le Corti Chianti Classico 2020,Red Wines,Tuscany,Italy,175,18
d97b99a4,Villa Le Corti Chianti Classico 2020,Red Wines,Tuscany,Italy,500,49
a00769f3,Villa Le Corti Chianti Classico 2020,Red Wines,Tuscany,Italy,750,73
57765dd5,Casa los Frailes Dolomitas Monastrell 2021,Red Wines,Valencia,Spain,750,74
b3b3d1ab,Anthonij Rupert Syrah 2018,Red Wines,Franschhoek,South Africa,750,74
468e4e68,Sigurd Wines Sigurd Field Blend 2020,Red Wines,Barossa Valley,Australia,750,75
adae9103,Itata Paraiso Portezuelo Paraiso Carinena 2020,Red Wines,Itata Valley,Chile,750,79
abe4c1ea,Au Bon Climat Santa Maria Valley Pinot Noir 2019,Red Wines,Santa Maria Valley,USA,750,83
f259441c,The Ojai Vineyard Red Blend NV,Red Wines,Santa Barbara County,USA,750,85
448f9f0b,Ken Forrester Three Halves 2015,Red Wines,Stellenbosch,South Africa,750,86
6e927e21,Lopez de Heredia Vina Bosconia Reserva 2011,Red Wines,Rioja,Spain,750,90
97404aeb,Chateau Mauvesin Barton 2018,Red Wines,Moulis-en-Medoc,France,175,21
42dc6bc7,Chateau Mauvesin Barton 2018,Red Wines,Moulis-en-Medoc,France,500,60
eb0b4f83,Chateau Mauvesin Barton 2018,Red Wines,Moulis-en-Medoc,France,750,90
44bc5426,Remelluri Reserva Rioja 2016,Red Wines,Rioja,Spain,175,21
7712ff26,Remelluri Reserva Rioja 2016,Red Wines,Rioja,Spain,500,60
96a84c81,Remelluri Reserva Rioja 2016,Red Wines,Rioja,Spain,750,90
979b6c63,Pago de Carraovejas Tempranillo Tinto 2020,Red Wines,Ribera del Duero,Spain,750,96
2de1cfb2,Cavas de Weinert Cask Selection 2012,Red Wines,Mendoza,Argentina,750,101
4af81e42,Pulenta Estate Gran Malbec X 2021,Red Wines,Mendoza,Argentina,750,105
11c1256a,Pursued by Bear Bear Cub Cabernet Blend 2020,Red Wines,Columbia Valley,USA,175,23
8e5a45ec,Pursued by Bear Bear Cub Cabernet Blend 2020,Red Wines,Columbia Valley,USA,500,66
bed0eb57,Pursued by Bear Bear Cub Cabernet Blend 2020,Red Wines,Columbia Valley,USA,750,105
e69de0a9,Marcarini Barolo del Comune di La Morra 2019,Rarities,Piedmont,Italy,125,19
782d6f2c,Marcarini Barolo del Comune di La Morra 2019,Rarities,Piedmont,Italy,750,110
e2aa5e64,Produttori del Barbaresco Barbaresco 2020,Rarities,Piedmont,Italy,750,125
05c645a5,Cantina Sobrero Barolo Parussi 2019,Rarities,Piedmont,Italy,750,135
da5c2117,La Spinetta Barbaresco Bordini 2020,Rarities,Piedmont,Italy,750,148
13160a1a,Braida Bricco dell'Uccellone Barbera d'Asti 2018,Rarities,Piedmont,Italy,750,155
